text,category
Apple launches new AI chip,Technology
Google releases Android update,Technology
Microsoft announces new AI tool,Technology
Tesla stock rises after earnings,Business
Oil prices increase worldwide,Business
Company profits grow,Business
Government passes new education law,Politics
President meets world leaders,Politics
Election results announced,Politics
Football team wins championship,Sports
Cricket team wins final,Sports
Basketball player breaks record,Sports
Earthquake hits major city,World
Flood affects thousands of people,World
UN holds peace meeting,World